practice_id,target_id,relevance_weight,is_direct,evidence,math_model,last_updated
p_ghg_management,7.2,"H",True,"Practice Action 'Transition to Renewable Energy' (ac7) directly contributes to increasing the share of renewable energy in the global energy mix.","Model linking energy source (MWh) to % of total energy mix.",2025-07-16
p_ghg_management,7.3,"M/H",True,"Practice Action 'Adopt Energy-Efficient Technologies' (ac8) directly contributes to doubling the global rate of improvement in energy efficiency.","Model linking technology upgrades to energy consumption per unit of production.",2025-07-16
p_ghg_management,8.4,"M/H",False,"Practice Action 'Adopt Energy-Efficient Technologies' (ac8) indirectly helps decouple economic growth from environmental degradation by improving resource efficiency.","Correlation model between resource efficiency and GDP decoupling.",2025-07-16
p_ghg_management,9.4,"H",True,"Practice Action 'Electrify Mobile Fleet' (ac9) and 'Upgrade Infrastructure & Retrofit Industries' are key methods for making industries more sustainable and adopting clean technologies.","Model of emissions reduction based on fleet electrification rate.",2025-07-16
p_ghg_management,11.6,"L",False,"While primarily an air quality measure, Practice Action 'Conduct Air Quality Monitoring' (ac16) indirectly addresses urban environmental impact, which has a minor relation to GHG.","No direct model.",2025-07-16
p_ghg_management,12.2,"M/H",False,"The overall goal of achieving sustainable management of resources aligns with reducing the GHG emissions intensity of extraction.","Model linking GHG per ton of ore to sustainable resource management score.",2025-07-16
p_ghg_management,13.2,"H",True,"The entire 'Climate Change Mitigation' practice (p_ghg_mitigation) represents the integration of climate change measures into policies and planning.","Qualitative link, no direct quantitative model.",2025-07-16
p_ghg_management,14.3,"H",True,"ocean acidification is directly driven by atmospheric CO₂; a core indicator of carbon uptake.","Stoichiometric model of CO2 dissolution and ocean pH change.",2025-07-16
p_air_quality,3.2,"M",False,"Mitigating air pollution indirectly contributes to reducing child mortality rates associated with respiratory illnesses.","Epidemiological model linking PM2.5 concentration to child respiratory mortality.",2025-07-16
p_air_quality,3.3,"M",False,"Reducing air pollution can indirectly help combat communicable diseases, particularly respiratory infections.","Correlation model between air quality index and incidence of respiratory infections.",2025-07-16
p_air_quality,3.4,"H",True,"Air pollution is a known contributor to non-communicable diseases (e.g., cardiovascular, respiratory), so control measures have a direct link to reducing NCD mortality.","Dose-response model linking pollutant exposure to NCD incidence.",2025-07-16
